id,name,sex,type,party,age
1,Politik,NA,NA,NA,NA
2,Verband,NA,1,NA,NA
3,Gewerkschaft,NA,1,NA,NA
4,Umweltschutz,NA,1,NA,NA
5,Industrie,NA,1,NA,NA
6,Energieunternehmen,NA,1,NA,NA
7,Wissenschaft,NA,NA,NA,NA
8,Regionalvertreter,NA,0,NA,NA
9,CDU,NA,1,9,NA
10,CSU,NA,1,10,NA
11,SPD,NA,1,11,NA
12,Die Grünen,NA,1,12,NA
13,FDP,NA,1,13,NA
GRO,Grothus,1,0,NA,NA
HAS,Hasselfeldt,1,0,10,4
HER,Herntier,1,0,NA,4
KAI,Kaiser,2,0,NA,3
KAM,Kampeter,2,0,9,3
KAP,Kapferer,2,0,NA,3
KEM,Kempf,2,0,NA,4
KOE,Körzel,2,0,11,3
KRE,Kreuzberg,2,0,9,4
LAE,Lämmel,2,0,9,3
LEN,Lenz,2,0,10,1
MAT,Matthes,2,0,NA,3
MIE,Miersch,2,0,11,2
NEM,Nemat,1,0,NA,3
NIE,Niebert,2,0,NA,1
NIEB,Niebuhr,1,0,NA,NA
PLA,Platzeck,2,0,9,4
POF,Pofalla,2,0,9,4
PRA,Praetorius,1,0,NA,NA
PRI,Priggen,2,0,12,4
REI,Reiche,1,0,9,2
ROE,Röstel,1,0,12,3
SCHE,Scheidt,2,0,11,3
SCHL,Schellnhuber,2,0,NA,4
SCHO,Schönefeld (ehem. Allmendinger),1,0,NA,4
SCHW,Schweitzer,2,0,13,3
TIL,Tillich,2,0,9,4
VAS,Vassiliadis,2,0,NA,3
WEH,Wehrsporn,2,0,NA,2
WEI,Weiger,2,0,NA,4
WOD,Wodtke,1,0,9,NA
